Name,Rank,Previous Rank,Artist URL,Photo URL
Taylor Swift,1,1,spotify:artist:06HL4z0CvFAxyc27GXpf02,https://i.scdn.co/image/ab67616100005174e672b5f553298dcdccb0e676
The Weeknd,2,4,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,https://i.scdn.co/image/ab676161000051749e528993a2820267b97f6aae
Bruno Mars,3,5,spotify:artist:0du5cEVh5yTK9QJze8zA0C,https://i.scdn.co/image/ab67616100005174c36dd9eb55fb0db4911f25dd
Kendrick Lamar,4,2,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,https://i.scdn.co/image/ab6761610000517439ba6dcd4355c03de0b50918
Bad Bunny,5,3,spotify:artist:4q3ewBCX7sLwd24euuV69X,https://i.scdn.co/image/ab67616100005174b47ab54cb10e80fb0eae1964
Ariana Grande,6,6,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,https://i.scdn.co/image/ab6761610000517440b5c07ab77b6b1a9075fdc0
Billie Eilish,7,7,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,https://i.scdn.co/image/ab676161000051744a21b4760d2ecb7b0dcdc8da
Drake,8,8,spotify:artist:3TVXtAsR1Inumwj472S9r4,https://i.scdn.co/image/ab676161000051744293385d324db8558179afd9
Rauw Alejandro,9,9,spotify:artist:1mcTU81TzQhprhouKaTkpq,https://i.scdn.co/image/ab67616100005174b271c8a0507c4c1ea795d989
Sabrina Carpenter,10,10,spotify:artist:74KM79TiuVKeVCqs8QtB0B,https://i.scdn.co/image/ab67616100005174e053b8338322b9c8609ee7ae
SZA,11,12,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,https://i.scdn.co/image/ab67616100005174fd0a9fb6c252a3ba44079acf
Peso Pluma,12,11,spotify:artist:12GqGscKJx3aE4t07u7eVZ,https://i.scdn.co/image/ab67616100005174e5283f5b671cf618b82a2696
Travis Scott,13,13,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,https://i.scdn.co/image/ab6761610000517419c2790744c792d05570bb71
Tito Double P,14,17,spotify:artist:5eumcnUkdmGvkvcsx1WFNG,https://i.scdn.co/image/ab6761610000517442aaf132132313182dcf7271
Feid,15,16,spotify:artist:2LRoIwlKmHjgvigdNGBHNo,https://i.scdn.co/image/ab6761610000517407620e28ffb1bdc8dd2d5ea0
"Tyler, The Creator",16,19,spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,https://i.scdn.co/image/ab67616100005174dfa2b0c7544a772042a12e52
Kanye West,17,18,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,https://i.scdn.co/image/ab676161000051746e835a500e791bf9c27a422a
Arijit Singh,18,20,spotify:artist:4YRxDV8wJFPHPTeXepOstw,https://i.scdn.co/image/ab676161000051745ba2d75eb08a2d672f9b69b7
Justin Bieber,19,24,spotify:artist:1uNFoZAHBGtllmzznpCI3s,https://i.scdn.co/image/ab676161000051748ae7f2aaa9817a704a87ea36
Juice WRLD,20,14,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,https://i.scdn.co/image/ab676161000051741908e1a8b79abf71d5598944
Lady Gaga,21,23,spotify:artist:1HY2Jd0NmPuamShAr6KMms,https://i.scdn.co/image/ab676161000051744b09cd0839c6129c29d22f79
Eminem,22,22,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,https://i.scdn.co/image/ab67616100005174a00b11c129b27a88fc72f36b
Linkin Park,23,21,spotify:artist:6XyY86QOPPrYVGvF9ch6wz,https://i.scdn.co/image/ab67616100005174c7e6bd9e65eab62a53355576
Michael Bublé,24,35,spotify:artist:1GxkXlMwML1oSg5eLPiAz3,https://i.scdn.co/image/ab67616100005174ecf79fd5be85dabb0f489107
Lana Del Rey,25,25,spotify:artist:00FQb4jTyendYWaN8pK0wa,https://i.scdn.co/image/ab67616100005174b99cacf8acd5378206767261
ROSÉ,26,15,spotify:artist:3eVa5w3URK5duf6eyVDbu9,https://i.scdn.co/image/ab67616100005174727a1f1f508238a20ac9fdbf
Fuerza Regida,27,26,spotify:artist:0ys2OFYzWYB5hRDLCsBqxt,https://i.scdn.co/image/ab676161000051747e2545f678354fc859de15f1
Future,28,27,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,https://i.scdn.co/image/ab676161000051747565b356bc9d9394eefa2ccb
Junior H,29,28,spotify:artist:7Gi6gjaWy3DxyilpF1a8Is,https://i.scdn.co/image/ab6761610000517450998d90507d8c1603b2530b
Coldplay,30,30,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,https://i.scdn.co/image/ab676161000051741ba8fc5f5c73e7e9313cc6eb
Gracie Abrams,31,32,spotify:artist:4tuJ0bMpJh08umKkEXKUI5,https://i.scdn.co/image/ab67616100005174f6d51e6f5342d2d363220920
KAROL G,32,31,spotify:artist:790FomKkXshlbRYZFtlgla,https://i.scdn.co/image/ab676161000051744b0754aefc9db490e02205ec
Natanael Cano,33,33,spotify:artist:0elWFr7TW8piilVRYJUe4P,https://i.scdn.co/image/ab676161000051747e2078873c8ccd9f968de1cf
Rihanna,34,36,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,https://i.scdn.co/image/ab6761610000517499e4fca7c0b7cb166d915789
Arcane,35,29,spotify:artist:57nPqD7z62gDdq37US9XJR,https://i.scdn.co/image/ab67616100005174a056b2ecc1a70ab57cdcc10b
Pritam,36,34,spotify:artist:1wRPtKGflJrBx9BmLsSwlU,https://i.scdn.co/image/ab67616100005174cb6926f44f620555ba444fca
Ed Sheeran,37,43,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,https://i.scdn.co/image/ab67616100005174784daff754ecfe0464ddbeb9
Post Malone,38,37,spotify:artist:246dkjvS1zLTtiykXe5h60,https://i.scdn.co/image/ab67616100005174e17c0aa1714a03d62b5ce4e0
Mariah Carey,39,46,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ,https://i.scdn.co/image/ab6761610000517435c3eff5d73f7e20ba3c9a2e
Metro Boomin,40,39,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp,https://i.scdn.co/image/ab67616100005174df9a1555f53a20087b8c5a5c
XXXTENTACION,41,38,spotify:artist:15UsOTVnJzReFVN1VCnxy4,https://i.scdn.co/image/ab67616100005174f0c20db5ef6c6fbe5135d2e4
Myke Towers,42,42,spotify:artist:7iK8PXO48WeuP03g8YR51W,https://i.scdn.co/image/ab676161000051748372345609bebaf1e948ef7f
Sia,43,47,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,https://i.scdn.co/image/ab67616100005174911dd6caa410128a05ab99aa
David Guetta,44,45,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,https://i.scdn.co/image/ab67616100005174f150017ca69c8793503c2d4f
Zach Bryan,45,40,spotify:artist:40ZNYROS4zLfyyBSs2PGe2,https://i.scdn.co/image/ab676161000051744fd54df35bfcfa0fc9fc2da7
Playboi Carti,46,41,spotify:artist:699OTQXzgjhIYAHMy9RyPD,https://i.scdn.co/image/ab67616100005174ba50ca67ffc3097f6ea1710a
Stray Kids,47,101,spotify:artist:2dIgFjalVxs4ThymZ67YCE,https://i.scdn.co/image/ab67616100005174dbe356bad5c3576e77dbf36f
Anuel AA,48,51,spotify:artist:2R21vXR83lH98kGeO99Y66,https://i.scdn.co/image/ab67616100005174a23ceb177745632b517cb7b2
Morgan Wallen,49,44,spotify:artist:4oUHIQIBe0LHzYfvXNW4QM,https://i.scdn.co/image/ab67616100005174df42c758479fe40372584e77
Imagine Dragons,50,49,spotify:artist:53XhwfbYqKCa1cC15pYq2q,https://i.scdn.co/image/ab67616100005174ab47d8dae2b24f5afe7f9d38
